CardNum,CardExp,UserID
1000000000028584,2028-04-04,100000001
1000000000030255,2028-06-29,100000001
1000000000000829,2028-12-20,100000001
1000000000026384,2026-05-20,100000001
1000000000031287,2026-10-25,100000003
1000000000002624,2028-01-10,100000003
1000000000005083,2026-12-06,100000003
1000000000012131,2024-04-11,100000003
1000000000006368,2028-12-20,110000001
1000000000027520,2026-12-16,110000001
1000000000006694,2025-08-25,110000002
1000000000025746,2028-02-14,110000002
1000000000009766,2026-10-03,110000002
1000000000021238,2027-08-26,110000003
1000000000017157,2028-09-18,NULL
1000000000030322,2027-07-30,NULL
1000000000000165,2025-01-07,NULL
1000000000010264,2026-09-27,NULL
